Model,Plant,Month,Korea,U.S.A,Canada,Mexico,*Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China
Bus (CKD),Special Vehicle,April,0,0,0,0,0,0,0,0,0,82,0,0
Morning / Picanto,Korea Plants,May,907,0,0,0,6266,162,1405,612,343,869,0,0
Pride / Rio,Korea Plants,May,0,0,0,0,7,0,0,0,2,0,0,0
Ray,Korea Plants,May,3178,0,0,0,0,0,0,0,0,0,0,0
Ray EV,Korea Plants,May,1278,0,0,0,0,0,0,0,0,0,0,0
K3,Korea Plants,May,995,0,45,25,0,77,14,889,6,1544,0,0
K5 / Optima,Korea Plants,May,2405,1843,0,0,0,531,20,1180,0,1,0,0
Stinger,Korea Plants,May,0,0,1,0,3,0,0,24,0,0,0,0
"K7,8 / Cadenza",Korea Plants,May,1873,0,0,0,0,26,0,92,0,0,0,0
K9,Korea Plants,May,282,0,0,0,0,7,0,0,0,0,0,0
Stonic,Korea Plants,May,0,0,0,0,4822,444,125,242,39,620,0,0
Seltos,Korea Plants,May,6120,6460,1756,0,0,297,658,610,0,893,0,0
Soul,Korea Plants,May,0,5740,158,105,0,0,226,0,0,2,0,0
Soul EV,Korea Plants,May,0,0,0,0,98,0,4,0,0,0,0,0
Niro,Korea Plants,May,1596,1865,204,149,3614,12,170,142,39,246,0,0
Niro EV,Korea Plants,May,113,2350,497,0,2390,46,10,20,10,68,0,0
Niro Plus,Korea Plants,May,0,0,0,0,0,0,0,74,2,14,0,0
Niro Plus EV,Korea Plants,May,67,0,0,0,0,0,0,99,0,0,0,0
EV3,Korea Plants,May,0,0,0,0,0,0,0,0,0,0,0,0
EV4,Korea Plants,May,0,0,0,0,0,0,0,0,0,0,0,0
EV6,Korea Plants,May,1380,2660,887,15,2240,16,46,95,21,226,26,6
EV9,Korea Plants,May,182,2187,515,0,885,23,12,13,3,101,0,0
Sportage,Korea Plants,May,6644,6290,1648,545,0,682,721,0,0,2402,0,0
Sorento,Korea Plants,May,7487,979,0,0,1102,624,155,1921,78,1108,0,0
Mohave / Borrego,Korea Plants,May,224,0,0,0,0,9,0,0,0,0,0,0
Carnival / Sedona,Korea Plants,May,7211,4151,405,0,0,28,133,275,5,1279,0,0
Bongo / Frontier,Korea Plants,May,3588,0,0,0,0,789,1200,1422,161,399,0,0
Bongo EV,Korea Plants,May,462,0,0,0,0,0,0,0,0,0,0,0
Bus,Korea Plants,May,118,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,May,0,0,0,0,6593,244,0,69,14,103,0,0
Cee'd CUV,Slovakia Plant,May,0,0,0,0,2456,188,10,0,148,0,0,0
Sportage,Slovakia Plant,May,0,0,0,0,15032,604,484,1857,780,0,0,0
Pride / Rio (SC),Mexico Plant,May,0,8,1,4345,0,0,1285,500,45,0,0,0
K3,Mexico Plant,May,0,13132,817,802,0,0,304,0,0,0,0,0
Pride / Rio (FB),*Russia Plant(HMMR),May,0,0,0,0,0,0,0,0,0,0,0,0
Optima / K5,US Plant,May,0,107,2,0,0,0,10,0,0,0,0,0
Sportage,US Plant,May,0,9222,0,0,0,0,24,0,0,0,0,0
Sorento,US Plant,May,0,7847,922,252,0,0,44,0,0,0,0,0
Telluride,US Plant,May,0,10315,351,65,0,0,18,104,0,4,0,0
EV9,US Plant,May,0,0,0,0,0,0,0,0,0,0,0,0
Pegas,China Plants,May,0,0,0,0,0,0,2145,1578,80,174,0,21
Forte,China Plants,May,0,0,0,0,0,0,0,0,0,0,0,1011
K3,China Plants,May,0,0,0,0,0,0,0,0,0,0,0,1515
K4,China Plants,May,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,China Plants,May,0,0,0,0,0,3,0,0,0,0,0,129
KX1,China Plants,May,0,0,0,0,0,0,0,0,0,64,0,340
Sonet,China Plants,May,0,0,0,1349,0,0,556,68,0,35,0,13
KX3 / Seltos,China Plants,May,0,0,0,1150,0,0,984,1330,35,75,0,939
Zhipao,China Plants,May,0,0,0,0,0,0,0,0,0,0,0,161
KX5 / Sportage,China Plants,May,0,0,0,0,0,0,0,0,0,0,0,870
Carnival,China Plants,May,0,0,0,0,0,0,0,0,0,0,0,145
EV5,China Plants,May,0,0,0,0,0,0,2,0,1,0,0,353
Sonet,India Plant,May,0,0,,,0,26,325,1161,256,187,7948,0
Seltos,India Plant,May,0,0,0,0,0,0,200,2,629,55,6008,0
Carens MPV,India Plant,May,0,0,0,0,0,0,183,473,18,27,5015,0
Carnival (CKD),India Plant,May,0,0,0,0,0,0,0,0,0,0,0,0
Morning / Picanto,CKD,May,0,0,0,0,0,0,0,191,0,38,0,0
Pegas,CKD,May,0,0,0,0,0,0,0,0,0,21,0,0
K3,CKD,May,0,0,0,0,0,103,0,0,0,273,0,0
K4,CKD,May,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,CKD,May,0,0,0,0,0,0,0,0,0,19,0,0
"K7, K8 / Cadenza",CKD,May,0,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD,May,0,0,0,0,0,118,350,0,0,604,0,0
Stonic,CKD,May,0,0,0,0,0,0,0,156,0,0,0,0
Seltos,CKD,May,0,0,0,0,0,155,0,0,0,395,0,0
Soul,CKD,May,0,0,0,0,0,110,0,0,0,0,0,0
EV5,CKD,May,0,0,0,0,0,0,0,0,0,0,0,0
EV9,CKD,May,0,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD,May,0,0,0,0,0,416,0,176,0,192,0,0
Sorento,CKD,May,0,0,0,0,0,0,0,109,0,157,0,0
New Carens,CKD,May,0,0,0,0,0,0,0,0,0,0,0,0
Carens MPV,CKD,May,0,0,0,0,0,0,0,0,0,312,0,0
Carnival / Sedona,CKD,May,0,0,0,0,0,0,0,0,0,633,0,0
Bongo / Frontier,CKD,May,0,0,0,0,0,0,190,0,0,628,0,0
Bongo,Special Vehicle,May,0,0,0,0,0,59,0,0,1,4,0,0
Millitary,Special Vehicle,May,125,0,0,0,14,0,0,0,0,0,0,0
Bus,Special Vehicle,May,0,0,0,0,0,0,0,0,0,0,0,0
Bongo (CKD),Special Vehicle,May,0,0,0,0,0,12,0,0,0,69,0,0
Millitary (CKD),Special Vehicle,May,0,0,0,0,0,0,0,72,0,0,0,0
Bus (CKD),Special Vehicle,May,0,0,0,0,0,0,0,0,0,27,0,0
Morning / Picanto,Korea Plants,June,985,0,0,0,5330,132,1712,651,325,764,0,0
Pride / Rio,Korea Plants,June,0,0,0,0,9,0,0,0,4,0,0,0
Ray,Korea Plants,June,2285,0,0,0,0,0,0,0,0,0,0,0
Ray EV,Korea Plants,June,1289,0,0,0,0,0,0,0,0,0,0,0
K3,Korea Plants,June,1341,0,24,20,0,109,21,895,238,1905,0,0
K5 / Optima,Korea Plants,June,2932,3738,0,0,0,209,16,921,0,0,0,0
Stinger,Korea Plants,June,0,0,2,0,4,0,0,34,1,0,0,0
"K7,8 / Cadenza",Korea Plants,June,1519,0,0,0,0,33,0,96,3,0,0,0
K9,Korea Plants,June,160,0,0,0,0,3,0,0,0,0,0,0
Stonic,Korea Plants,June,0,0,0,0,5319,207,339,488,62,433,0,0
Seltos,Korea Plants,June,5399,5871,1868,0,0,324,617,213,0,1097,0,0
Soul,Korea Plants,June,0,4565,64,68,0,28,324,0,0,3,0,0
Soul EV,Korea Plants,June,0,0,0,0,76,0,0,2,0,0,0,0
Niro,Korea Plants,June,1210,1719,207,100,4704,6,176,339,24,199,0,0
Niro EV,Korea Plants,June,123,1662,461,0,1964,51,9,33,4,70,0,0
Niro Plus,Korea Plants,June,0,0,0,0,0,0,0,80,3,5,0,0
Niro Plus EV,Korea Plants,June,65,0,0,0,0,0,0,1,0,0,0,0
EV3,Korea Plants,June,0,0,0,0,0,0,0,0,0,0,0,0
EV4,Korea Plants,June,0,0,0,0,0,0,0,0,0,0,0,0
EV6,Korea Plants,June,1430,2171,693,13,2065,4,77,230,19,209,13,9
EV9,Korea Plants,June,113,1905,481,0,1012,30,3,6,10,81,0,0
Sportage,Korea Plants,June,5815,5268,1471,544,0,566,828,0,0,2467,0,0
Sorento,Korea Plants,June,7307,1214,54,0,1501,923,161,1572,94,1062,0,0
Mohave / Borrego,Korea Plants,June,288,0,0,0,0,0,0,0,0,0,0,0
Carnival / Sedona,Korea Plants,June,8097,3806,560,0,0,24,122,249,23,1585,0,0
Bongo / Frontier,Korea Plants,June,3084,0,0,0,0,899,978,1385,231,232,0,0
Bongo EV,Korea Plants,June,439,0,0,0,0,0,0,0,0,0,0,0
Bus,Korea Plants,June,122,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,June,0,0,0,0,7260,344,3,29,16,32,0,0
Cee'd CUV,Slovakia Plant,June,0,0,0,0,3664,77,20,0,144,0,0,0
Sportage,Slovakia Plant,June,0,0,0,0,16057,529,496,2566,1104,0,0,0
Pride / Rio (SC),Mexico Plant,June,0,2,0,4060,0,0,1052,398,95,1,0,0
K3,Mexico Plant,June,0,11358,941,1451,0,0,139,0,0,0,0,0
Pride / Rio (FB),*Russia Plant(HMMR),June,0,0,0,0,0,0,0,0,0,0,0,0
Optima / K5,US Plant,June,0,33,1,0,0,0,6,0,0,0,0,0
Sportage,US Plant,June,0,8048,0,0,0,0,26,0,0,0,0,0
Sorento,US Plant,June,0,5711,864,230,0,0,19,0,0,0,0,0
Telluride,US Plant,June,0,8858,301,62,0,0,15,52,0,3,0,0
EV9,US Plant,June,0,0,0,0,0,0,0,0,0,0,0,0
Pegas,China Plants,June,0,0,0,0,0,0,1948,783,246,134,0,15
Forte,China Plants,June,0,0,0,0,0,0,0,0,0,0,0,1047
K3,China Plants,June,0,0,0,0,0,0,0,0,0,0,0,1265
K4,China Plants,June,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,China Plants,June,0,0,0,0,0,0,0,0,0,0,0,184
KX1,China Plants,June,0,0,0,0,0,0,0,0,0,0,0,397
Sonet,China Plants,June,0,0,0,1001,0,0,856,157,1,447,0,13
KX3 / Seltos,China Plants,June,0,0,0,1354,0,0,908,1395,134,61,0,1346
Zhipao,China Plants,June,0,0,0,0,0,0,0,0,0,0,0,170
KX5 / Sportage,China Plants,June,0,0,0,0,0,0,0,0,0,0,0,1093
Carnival,China Plants,June,0,0,0,0,0,0,0,0,0,0,0,175
EV5,China Plants,June,0,0,0,0,0,0,23,0,0,163,0,594
Sonet,India Plant,June,0,0,,,0,0,151,769,604,110,7949,0
Seltos,India Plant,June,0,0,0,0,0,0,217,4,162,54,6230,0
Carens MPV,India Plant,June,0,0,0,0,0,69,147,418,65,33,5040,0
Carnival (CKD),India Plant,June,0,0,0,0,0,0,0,0,0,0,0,0
Morning / Picanto,CKD,June,0,0,0,0,0,0,0,76,0,74,0,0
Pegas,CKD,June,0,0,0,0,0,0,0,0,0,50,0,0
K3,CKD,June,0,0,0,0,0,228,0,0,0,244,0,0
K4,CKD,June,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,CKD,June,0,0,0,0,0,0,0,0,0,25,0,0
"K7, K8 / Cadenza",CKD,June,0,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD,June,0,0,0,0,0,696,256,0,0,321,0,0
Stonic,CKD,June,0,0,0,0,0,0,0,193,0,0,0,0
Seltos,CKD,June,0,0,0,0,0,48,0,0,0,609,0,0
Soul,CKD,June,0,0,0,0,0,61,0,0,0,0,0,0
EV5,CKD,June,0,0,0,0,0,0,0,0,0,0,0,0
EV9,CKD,June,0,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD,June,0,0,0,0,0,610,0,335,0,173,0,0
Sorento,CKD,June,0,0,0,0,0,0,0,86,0,123,0,0
New Carens,CKD,June,0,0,0,0,0,0,0,0,0,0,0,0
Carens MPV,CKD,June,0,0,0,0,0,0,0,0,0,372,0,0
Carnival / Sedona,CKD,June,0,0,0,0,0,0,0,0,0,653,0,0
Bongo / Frontier,CKD,June,0,0,0,0,0,0,243,0,0,787,0,0
Bongo,Special Vehicle,June,0,0,0,0,0,53,0,0,0,5,0,0
Millitary,Special Vehicle,June,281,0,0,0,0,0,0,0,50,0,0,0
Bus,Special Vehicle,June,0,0,0,0,0,0,0,0,0,0,0,0
Bongo (CKD),Special Vehicle,June,0,0,0,0,0,8,0,0,0,53,0,0
Millitary (CKD),Special Vehicle,June,0,0,0,0,0,2,0,0,0,0,0,0
Bus (CKD),Special Vehicle,June,0,0,0,0,0,0,0,0,0,49,0,0
Morning / Picanto,Korea Plants,July,1335,0,0,0,5481,131,1516,792,1087,542,0,0
Pride / Rio,Korea Plants,July,0,0,0,0,1,1,0,0,0,0,0,0
Ray,Korea Plants,July,2977,0,0,0,0,0,0,0,0,0,0,0
Ray EV,Korea Plants,July,1407,0,0,0,0,0,0,0,0,0,0,0
K3,Korea Plants,July,1373,0,51,12,0,145,25,1057,36,1603,0,0
K5 / Optima,Korea Plants,July,2702,4704,0,0,0,8,7,985,1,0,0,0
Stinger,Korea Plants,July,0,0,1,0,2,1,0,5,0,0,0,0
"K7,8 / Cadenza",Korea Plants,July,1154,0,0,0,0,154,0,124,0,0,0,0
K9,Korea Plants,July,202,0,0,0,0,11,0,0,0,0,0,0
Stonic,Korea Plants,July,0,0,0,0,5068,440,249,433,308,428,0,0
Seltos,Korea Plants,July,5489,5481,1610,0,0,21,682,299,0,926,0,0
Soul,Korea Plants,July,0,3428,183,72,0,117,289,0,0,3,0,0
Soul EV,Korea Plants,July,0,0,0,0,135,0,1,0,0,0,0,0
Niro,Korea Plants,July,1049,1662,333,103,4782,6,198,326,25,216,0,0
Niro EV,Korea Plants,July,150,1012,292,0,2868,160,0,38,12,69,0,0
Niro Plus,Korea Plants,July,0,0,0,0,0,0,0,0,1,0,0,0
Niro Plus EV,Korea Plants,July,14,0,0,0,0,0,0,0,0,2,0,0
EV3,Korea Plants,July,1975,0,0,0,0,0,0,0,0,0,0,0
EV4,Korea Plants,July,0,0,0,0,0,0,0,0,0,0,0,0
EV6,Korea Plants,July,1344,1547,607,5,2163,14,12,3,14,208,19,7
EV9,Korea Plants,July,161,1815,237,0,1003,17,17,13,6,227,0,0
Sportage,Korea Plants,July,6235,4639,1536,655,0,414,666,0,0,2232,0,0
Sorento,Korea Plants,July,7596,1737,258,0,1523,926,239,1474,178,910,0,0
Mohave / Borrego,Korea Plants,July,197,0,0,0,0,30,0,0,0,0,0,0
Carnival / Sedona,Korea Plants,July,7050,4557,450,0,0,100,226,283,20,1300,0,0
Bongo / Frontier,Korea Plants,July,2920,0,0,0,0,592,1055,1236,75,321,0,0
Bongo EV,Korea Plants,July,567,0,0,0,0,0,0,0,0,0,0,0
Bus,Korea Plants,July,113,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,July,0,0,0,0,6596,653,0,38,30,60,0,0
Cee'd CUV,Slovakia Plant,July,0,0,0,0,2590,155,11,0,165,0,0,0
Sportage,Slovakia Plant,July,0,0,0,0,14439,777,509,1702,791,0,0,0
Pride / Rio (SC),Mexico Plant,July,0,1,0,3945,0,0,1075,220,18,0,0,0
K3,Mexico Plant,July,0,10448,931,1254,0,0,135,0,0,1,0,0
Pride / Rio (FB),*Russia Plant(HMMR),July,,,,,,,,,,,,
Optima / K5,US Plant,July,0,9,0,0,0,0,4,0,0,0,0,0
Sportage,US Plant,July,0,7989,0,0,0,0,34,0,0,0,0,0
Sorento,US Plant,July,0,5469,799,201,0,0,32,0,0,0,0,0
Telluride,US Plant,July,0,9082,313,50,0,0,13,47,0,4,0,0
EV9,US Plant,July,0,0,0,0,0,0,0,0,0,0,0,0
Pegas,China Plants,July,0,0,0,0,0,0,2048,1190,507,124,0,14
Forte,China Plants,July,0,0,0,0,0,0,0,0,0,0,0,1208
K3,China Plants,July,0,0,0,0,0,0,0,0,0,0,0,707
K4,China Plants,July,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,China Plants,July,0,0,0,0,0,76,0,0,0,0,0,173
KX1,China Plants,July,0,0,0,0,0,0,0,0,0,0,0,264
Sonet,China Plants,July,0,0,0,1134,0,0,995,218,12,383,0,15
KX3 / Seltos,China Plants,July,0,0,0,1432,0,0,943,1666,121,66,0,2190
Zhipao,China Plants,July,0,0,0,0,0,0,0,0,0,0,0,175
KX5 / Sportage,China Plants,July,0,0,0,0,0,0,0,0,0,0,0,913
Carnival,China Plants,July,0,0,0,0,0,0,0,0,0,0,0,145
EV5,China Plants,July,0,0,0,0,0,0,76,0,0,191,0,606
Sonet,India Plant,July,0,0,,,0,0,71,596,924,162,7838,0
Seltos,India Plant,July,0,0,0,0,0,0,162,2,100,71,6147,0
Carens MPV,India Plant,July,0,0,0,0,0,20,228,489,16,26,5299,0
Carnival (CKD),India Plant,July,,,,,,,,,,,,
Morning / Picanto,CKD,July,0,0,0,0,0,0,0,51,0,87,0,0
Pegas,CKD,July,0,0,0,0,0,0,0,0,0,30,0,0
K3,CKD,July,0,0,0,0,0,169,0,0,0,388,0,0
K4,CKD,July,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,CKD,July,0,0,0,0,0,0,0,0,0,21,0,0
"K7, K8 / Cadenza",CKD,July,0,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD,July,0,0,0,0,0,1120,344,0,0,576,0,0
Stonic,CKD,July,0,0,0,0,0,0,0,4,0,0,0,0
Seltos,CKD,July,0,0,0,0,0,122,0,0,0,466,0,0
Soul,CKD,July,0,0,0,0,0,61,0,0,0,0,0,0
EV5,CKD,July,0,0,0,0,0,0,0,0,0,0,0,0
EV9,CKD,July,0,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD,July,0,0,0,0,0,700,0,467,0,300,0,0
Sorento,CKD,July,0,0,0,0,0,0,0,25,0,87,0,0
New Carens,CKD,July,0,0,0,0,0,0,0,0,0,1,0,0
Carens MPV,CKD,July,0,0,0,0,0,0,0,0,0,353,0,0
Carnival / Sedona,CKD,July,0,0,0,0,0,0,0,0,0,571,0,0
Bongo / Frontier,CKD,July,0,0,0,0,0,0,241,0,0,769,0,0
Bongo,Special Vehicle,July,0,0,0,0,0,71,0,0,0,2,0,0
Millitary,Special Vehicle,July,228,0,0,0,1,0,0,0,50,0,0,0
Bus,Special Vehicle,July,0,0,0,0,0,0,0,0,0,0,0,0
Bongo (CKD),Special Vehicle,July,0,0,0,0,0,20,0,24,0,148,0,0
Millitary (CKD),Special Vehicle,July,0,0,0,0,0,2,0,72,0,0,0,0
Bus (CKD),Special Vehicle,July,0,0,0,0,0,0,0,0,0,35,0,0
Morning / Picanto,Korea Plants,August,910,0,0,0,4442,236,1344,239,1288,578,0,0
Pride / Rio,Korea Plants,August,0,0,0,0,22,0,0,1,0,2,0,0
Ray,Korea Plants,August,2787,0,0,0,0,0,0,0,0,0,0,0
Ray EV,Korea Plants,August,923,0,0,0,0,0,0,0,0,0,0,0
K3,Korea Plants,August,588,0,43,16,0,95,23,617,217,1417,0,0
K5 / Optima,Korea Plants,August,2690,6047,0,0,0,7,7,445,0,0,0,0
Stinger,Korea Plants,August,0,0,2,0,0,0,0,5,0,0,0,0
"K7,8 / Cadenza",Korea Plants,August,2711,0,0,0,0,31,0,145,0,0,0,0
K9,Korea Plants,August,177,0,0,0,0,2,0,0,0,0,0,0
Stonic,Korea Plants,August,0,0,0,0,3795,726,239,253,440,575,0,0
Seltos,Korea Plants,August,5551,6033,1533,0,0,198,891,152,0,858,0,0
Soul,Korea Plants,August,0,4185,223,53,0,26,254,0,0,2,0,0
Soul EV,Korea Plants,August,0,0,0,0,143,0,4,0,0,0,0,0
Niro,Korea Plants,August,1048,1763,212,88,2849,6,196,128,34,186,0,0
Niro EV,Korea Plants,August,61,906,223,0,1541,152,2,126,2,50,0,0
Niro Plus,Korea Plants,August,0,0,0,0,0,0,0,0,0,5,0,0
Niro Plus EV,Korea Plants,August,43,0,0,0,0,0,0,0,0,2,0,0
EV3,Korea Plants,August,4002,0,0,0,5,0,0,0,0,0,0,0
EV4,Korea Plants,August,0,0,0,0,0,0,0,0,0,0,0,0
EV6,Korea Plants,August,599,1885,515,9,1923,9,8,6,25,148,26,2
EV9,Korea Plants,August,92,2388,436,0,736,16,9,5,1,168,0,0
Sportage,Korea Plants,August,5988,5805,1480,614,0,253,711,0,0,2459,0,0
Sorento,Korea Plants,August,3502,2169,195,0,1087,237,195,1544,77,808,0,0
Mohave / Borrego,Korea Plants,August,204,0,0,0,0,4,0,0,0,0,0,0
Carnival / Sedona,Korea Plants,August,5534,5060,271,0,0,15,67,186,13,1189,0,0
Bongo / Frontier,Korea Plants,August,2608,0,0,0,0,32,921,1173,147,247,0,0
Bongo EV,Korea Plants,August,382,0,0,0,0,0,0,0,0,0,0,0
Bus,Korea Plants,August,110,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,August,0,0,0,0,5329,300,3,7,23,25,0,0
Cee'd CUV,Slovakia Plant,August,0,0,0,0,1949,275,27,0,195,0,0,0
Sportage,Slovakia Plant,August,0,0,0,0,10056,700,567,1894,743,0,0,0
Pride / Rio (SC),Mexico Plant,August,0,0,1,4354,0,0,1293,467,4,0,0,0
K3,Mexico Plant,August,0,12817,1055,1039,0,0,66,0,0,3,0,0
Pride / Rio (FB),*Russia Plant(HMMR),August,0,0,0,0,0,0,0,0,0,0,0,0
Optima / K5,US Plant,August,0,11,1,0,0,0,3,0,0,0,0,0
Sportage,US Plant,August,0,9309,0,0,0,0,29,0,0,0,0,0
Sorento,US Plant,August,0,6566,914,191,0,0,45,0,0,0,0,0
Telluride,US Plant,August,0,10273,308,58,0,0,18,49,0,2,0,0
EV9,US Plant,August,0,0,0,0,0,0,0,0,0,0,0,0
Pegas,China Plants,August,0,0,0,0,0,0,2377,1727,353,105,0,27
Forte,China Plants,August,0,0,0,0,0,0,0,0,0,0,0,780
K3,China Plants,August,0,0,0,0,0,0,0,0,0,0,0,988
K4,China Plants,August,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,China Plants,August,0,0,0,0,0,446,0,0,0,0,0,211
KX1,China Plants,August,0,0,0,0,0,0,0,0,0,1,0,520
Sonet,China Plants,August,0,0,0,1052,0,0,1085,922,43,599,0,14
KX3 / Seltos,China Plants,August,0,0,0,1273,0,0,1036,1747,206,42,0,1996
Zhipao,China Plants,August,0,0,0,0,0,0,0,0,0,0,0,262
KX5 / Sportage,China Plants,August,0,0,0,0,0,0,0,0,0,0,0,949
Carnival,China Plants,August,0,0,0,0,0,0,0,0,0,0,0,153
EV5,China Plants,August,0,0,0,0,0,0,51,1,19,138,0,436
Sonet,India Plant,August,0,0,,,0,0,88,16,841,169,8905,0
Seltos,India Plant,August,0,0,0,0,0,0,158,0,168,79,7155,0
Carens MPV,India Plant,August,0,0,0,0,0,65,251,659,33,31,5496,0
Carnival (CKD),India Plant,August,0,0,0,0,0,0,0,0,0,0,0,0
Morning / Picanto,CKD,August,0,0,0,0,0,0,0,89,0,40,0,0
Pegas,CKD,August,0,0,0,0,0,0,0,0,0,21,0,0
K3,CKD,August,0,0,0,0,0,168,0,0,0,275,0,0
K4,CKD,August,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,CKD,August,0,0,0,0,0,0,0,0,0,14,0,0
"K7, K8 / Cadenza",CKD,August,0,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD,August,0,0,0,0,0,1000,238,0,0,401,0,0
Stonic,CKD,August,0,0,0,0,0,0,0,0,0,0,0,0
Seltos,CKD,August,0,0,0,0,0,72,0,0,0,359,0,0
Soul,CKD,August,0,0,0,0,0,13,0,0,0,0,0,0
EV5,CKD,August,0,0,0,0,0,0,0,0,0,0,0,0
EV9,CKD,August,0,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD,August,0,0,0,0,0,844,0,491,0,170,0,0
Sorento,CKD,August,0,0,0,0,0,0,0,37,0,78,0,0
New Carens,CKD,August,0,0,0,0,0,0,0,0,0,0,0,0
Carens MPV,CKD,August,0,0,0,0,0,0,0,0,0,371,0,0
Carnival / Sedona,CKD,August,0,0,0,0,0,0,0,0,0,511,0,0
Bongo / Frontier,CKD,August,0,0,0,0,0,0,305,0,0,401,0,0
Bongo,Special Vehicle,August,0,0,0,0,0,173,2,0,4,9,0,0
Millitary,Special Vehicle,August,174,0,0,0,0,0,0,0,0,0,0,0
Bus,Special Vehicle,August,0,0,0,0,0,0,0,0,0,0,0,0
Bongo (CKD),Special Vehicle,August,0,0,0,0,0,21,0,12,0,120,0,0
Millitary (CKD),Special Vehicle,August,0,0,0,0,0,0,0,72,0,0,0,0
Bus (CKD),Special Vehicle,August,0,0,0,0,0,0,0,0,0,35,0,0
Morning / Picanto,Korea Plants,September,968,0,0,0,6947,298,1484,649,685,723,0,0
Pride / Rio,Korea Plants,September,0,0,0,0,1,0,0,0,2,0,0,0
Ray,Korea Plants,September,2589,0,0,0,0,0,0,0,0,0,0,0
Ray EV,Korea Plants,September,774,0,0,0,0,0,0,0,0,0,0,0
K3,Korea Plants,September,4,0,30,5,0,25,7,722,29,1599,0,0
K5 / Optima,Korea Plants,September,2277,4897,0,0,0,2,3,727,0,0,0,0
Stinger,Korea Plants,September,0,0,2,0,0,0,0,11,1,0,0,0
"K7,8 / Cadenza",Korea Plants,September,4724,0,0,0,0,15,0,198,0,0,0,0
