Model,Plant,Month,Korea,U.S.A,Canada,Mexico,*Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China
K9,Korea Plants,September,163,0,0,0,0,30,0,0,0,0,0,0
Stonic,Korea Plants,September,0,0,0,0,4738,1197,177,244,124,675,0,0
Seltos,Korea Plants,September,4433,3877,1242,0,0,228,678,219,0,1015,0,0
Soul,Korea Plants,September,0,4016,193,43,0,39,474,0,0,2,0,0
Soul EV,Korea Plants,September,0,0,0,0,86,0,3,0,0,0,0,0
Niro,Korea Plants,September,866,1289,196,34,4442,3,175,673,35,237,0,0
Niro EV,Korea Plants,September,4,398,281,0,2503,122,0,0,1,43,0,0
Niro Plus,Korea Plants,September,0,0,0,0,0,0,0,0,1,10,0,0
Niro Plus EV,Korea Plants,September,3,0,0,0,0,0,0,0,0,2,0,0
EV3,Korea Plants,September,2022,0,0,0,2,0,0,0,0,0,0,0
EV4,Korea Plants,September,0,0,0,0,0,0,0,0,0,0,0,0
EV6,Korea Plants,September,324,1612,529,7,2366,7,8,13,14,178,25,5
EV9,Korea Plants,September,122,2095,613,0,1156,26,2,11,5,161,0,0
Sportage,Korea Plants,September,4541,4264,1113,602,0,445,596,0,0,2689,0,0
Sorento,Korea Plants,September,6628,1664,215,0,1376,488,241,1380,156,818,0,0
Mohave / Borrego,Korea Plants,September,118,0,0,0,0,13,0,0,0,0,0,0
Carnival / Sedona,Korea Plants,September,4900,4027,378,0,0,18,173,213,15,1287,0,0
Bongo / Frontier,Korea Plants,September,2143,0,0,0,0,47,1169,1388,145,339,0,0
Bongo EV,Korea Plants,September,443,0,0,0,0,0,0,0,0,0,0,0
Bus,Korea Plants,September,94,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,September,0,0,0,0,6844,382,0,28,11,20,0,0
Cee'd CUV,Slovakia Plant,September,0,0,0,0,2933,296,1,0,7,0,0,0
Sportage,Slovakia Plant,September,0,0,0,0,17119,771,431,1729,733,0,0,0
Pride / Rio (SC),Mexico Plant,September,0,0,0,3738,0,0,1417,427,0,0,0,0
K3,Mexico Plant,September,0,10266,789,1215,0,0,16,0,0,2,0,0
Pride / Rio (FB),*Russia Plant(HMMR),September,,,,,,,,,,,,
Optima / K5,US Plant,September,0,1,1,0,0,0,0,0,0,0,0,0
Sportage,US Plant,September,0,6899,0,0,0,0,23,0,0,0,0,0
Sorento,US Plant,September,0,4908,868,145,0,0,51,0,0,0,0,0
Telluride,US Plant,September,0,8699,302,44,0,0,11,69,0,2,0,0
EV9,US Plant,September,0,1,0,0,0,0,0,0,0,0,0,0
Pegas,China Plants,September,0,0,0,0,0,0,1978,2416,203,131,0,17
Forte,China Plants,September,0,0,0,0,0,0,0,0,0,0,0,953
K3,China Plants,September,0,0,0,0,0,0,0,0,0,0,0,605
K4,China Plants,September,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,China Plants,September,0,0,0,0,0,503,0,0,0,0,0,46
KX1,China Plants,September,0,0,0,0,0,0,0,0,0,0,0,446
Sonet,China Plants,September,0,0,0,978,0,0,1130,894,50,484,0,11
KX3 / Seltos,China Plants,September,0,0,0,1191,0,0,915,1640,66,69,0,1938
Zhipao,China Plants,September,0,0,0,0,0,0,0,0,0,0,0,283
KX5 / Sportage,China Plants,September,0,0,0,0,0,0,0,393,0,0,0,996
Carnival,China Plants,September,0,0,0,0,0,0,0,0,0,0,0,131
EV5,China Plants,September,0,0,0,0,0,0,105,0,9,50,0,408
Sonet,India Plant,September,0,0,,,0,0,90,7,1022,119,8885,0
Seltos,India Plant,September,0,0,0,0,0,0,161,0,84,89,6061,0
Carens MPV,India Plant,September,0,0,0,0,0,60,195,454,47,33,5444,0
Carnival (CKD),India Plant,September,0,0,0,0,0,0,0,0,0,0,0,0
Morning / Picanto,CKD,September,0,0,0,0,0,0,0,136,0,69,0,0
Pegas,CKD,September,0,0,0,0,0,0,0,0,0,34,0,0
K3,CKD,September,0,0,0,0,0,110,0,0,0,495,0,0
K4,CKD,September,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,CKD,September,0,0,0,0,0,0,0,0,0,21,0,0
"K7, K8 / Cadenza",CKD,September,0,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD,September,0,0,0,0,0,1150,248,0,0,720,0,0
Stonic,CKD,September,0,0,0,0,0,0,0,80,0,0,0,0
Seltos,CKD,September,0,0,0,0,0,25,0,0,0,733,0,0
Soul,CKD,September,0,0,0,0,0,61,0,0,0,0,0,0
EV5,CKD,September,0,0,0,0,0,0,0,0,0,0,0,0
EV9,CKD,September,0,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD,September,0,0,0,0,0,101,0,404,0,365,0,0
Sorento,CKD,September,0,0,0,0,0,0,0,30,0,127,0,0
New Carens,CKD,September,0,0,0,0,0,0,0,0,0,0,0,0
Carens MPV,CKD,September,0,0,0,0,0,0,0,0,0,455,0,0
Carnival / Sedona,CKD,September,0,0,0,0,0,0,0,0,0,672,0,0
Bongo / Frontier,CKD,September,0,0,0,0,0,0,241,0,0,559,0,0
Bongo,Special Vehicle,September,0,0,0,0,0,123,0,0,45,3,0,0
Millitary,Special Vehicle,September,129,0,0,0,0,0,0,0,0,0,0,0
Bus,Special Vehicle,September,0,0,0,0,0,0,0,0,0,0,0,0
Bongo (CKD),Special Vehicle,September,0,0,0,0,0,0,0,0,0,317,0,0
Millitary (CKD),Special Vehicle,September,0,0,0,0,0,0,0,72,1,0,0,0
Bus (CKD),Special Vehicle,September,0,0,0,0,0,0,0,0,0,62,0,0
Morning / Picanto,Korea Plants,October,1464,0,0,0,5364,181,1368,779,321,573,0,0
Pride / Rio,Korea Plants,October,0,0,0,0,0,0,0,0,0,0,0,0
Ray,Korea Plants,October,3036,0,0,0,0,0,0,0,0,0,0,0
Ray EV,Korea Plants,October,242,0,0,0,0,0,0,0,0,0,0,0
K3,Korea Plants,October,0,0,10,7,0,25,15,700,323,1013,0,0
K5 / Optima,Korea Plants,October,3030,5816,0,0,0,4,17,493,3,0,0,0
Stinger,Korea Plants,October,0,0,0,0,0,0,0,11,0,0,0,0
"K7,8 / Cadenza",Korea Plants,October,4977,0,0,0,0,12,0,120,0,0,0,0
K9,Korea Plants,October,127,0,0,0,0,4,0,0,0,0,0,0
Stonic,Korea Plants,October,0,0,0,0,4790,372,149,224,101,712,0,0
Seltos,Korea Plants,October,6822,4266,1518,0,0,146,505,179,0,1091,0,0
Soul,Korea Plants,October,0,4622,199,53,0,34,311,0,0,4,0,0
Soul EV,Korea Plants,October,0,0,0,0,6,0,2,0,0,0,0,0
Niro,Korea Plants,October,941,1262,169,54,2888,6,199,407,70,183,0,0
Niro EV,Korea Plants,October,17,284,433,0,1230,79,15,0,4,25,0,0
Niro Plus,Korea Plants,October,0,0,0,0,0,0,0,2,6,0,0,0
Niro Plus EV,Korea Plants,October,3,0,0,0,0,0,0,0,0,0,0,0
EV3,Korea Plants,October,2107,0,0,0,553,0,0,0,0,0,0,0
EV4,Korea Plants,October,0,0,0,0,0,0,0,0,0,0,0,0
EV6,Korea Plants,October,557,1732,664,15,1545,122,5,5,22,158,66,0
EV9,Korea Plants,October,159,1940,541,0,734,12,4,8,5,101,0,0
Sportage,Korea Plants,October,5531,5122,1778,565,0,434,756,0,0,2762,0,0
Sorento,Korea Plants,October,7962,1924,143,0,832,725,211,1433,135,772,0,0
Mohave / Borrego,Korea Plants,October,98,0,0,0,0,85,0,0,0,0,0,0
Carnival / Sedona,Korea Plants,October,5645,4909,429,0,0,30,134,195,25,1062,0,0
Bongo / Frontier,Korea Plants,October,2569,0,0,0,0,35,1052,903,201,290,0,0
Bongo EV,Korea Plants,October,614,0,0,0,0,0,0,0,0,0,0,0
Bus,Korea Plants,October,124,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,October,0,0,0,0,6350,380,0,52,13,9,0,0
Cee'd CUV,Slovakia Plant,October,0,0,0,0,2241,815,4,0,58,0,0,0
Sportage,Slovakia Plant,October,0,0,0,0,14729,512,538,1696,515,0,0,0
Pride / Rio (SC),Mexico Plant,October,0,0,2,3985,0,0,1327,115,42,0,0,0
K3,Mexico Plant,October,0,12858,613,1160,0,0,72,0,0,0,0,0
Pride / Rio (FB),*Russia Plant(HMMR),October,0,0,0,0,0,0,0,0,0,0,0,0
Optima / K5,US Plant,October,0,2,1,0,0,0,1,0,0,0,0,0
Sportage,US Plant,October,0,8559,0,0,0,0,18,0,0,0,0,0
Sorento,US Plant,October,0,5917,954,226,0,0,54,0,0,0,0,0
Telluride,US Plant,October,0,9694,303,56,0,0,16,51,0,4,0,0
EV9,US Plant,October,0,1,0,0,0,0,4,0,0,0,0,0
Pegas,China Plants,October,0,0,0,0,0,0,2121,2457,94,130,0,21
Forte,China Plants,October,0,0,0,0,0,0,0,0,0,0,0,850
K3,China Plants,October,0,0,0,0,0,0,0,0,0,0,0,510
K4,China Plants,October,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,China Plants,October,0,0,0,0,0,333,0,0,0,0,0,114
KX1,China Plants,October,0,0,0,0,0,0,0,0,0,1,0,1000
Sonet,China Plants,October,0,0,0,1031,0,0,1365,1266,121,676,0,22
KX3 / Seltos,China Plants,October,0,0,0,1153,0,0,1034,1843,176,75,0,1533
Zhipao,China Plants,October,0,0,0,0,0,0,0,0,0,0,0,313
KX5 / Sportage,China Plants,October,0,0,0,0,0,0,0,1410,0,0,0,1248
Carnival,China Plants,October,0,0,0,0,0,0,0,0,0,0,0,175
EV5,China Plants,October,0,0,0,0,0,0,147,2,10,177,0,734
Sonet,India Plant,October,0,0,,,0,0,91,7,934,121,10292,0
Seltos,India Plant,October,0,0,0,0,0,0,161,0,189,107,7755,0
Carens MPV,India Plant,October,0,0,0,0,0,48,194,477,44,30,6553,0
Carnival (CKD),India Plant,October,0,0,0,0,0,0,0,0,0,0,70,0
Morning / Picanto,CKD,October,0,0,0,0,0,0,0,54,0,83,0,0
Pegas,CKD,October,0,0,0,0,0,0,0,0,0,80,0,0
K3,CKD,October,0,0,0,0,0,131,0,0,0,525,0,0
K4,CKD,October,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,CKD,October,0,0,0,0,0,0,0,0,0,31,0,0
"K7, K8 / Cadenza",CKD,October,0,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD,October,0,0,0,0,0,1350,236,0,0,833,0,0
Stonic,CKD,October,0,0,0,0,0,0,0,81,0,0,0,0
Seltos,CKD,October,0,0,0,0,0,82,0,0,0,911,0,0
Soul,CKD,October,0,0,0,0,0,2,0,0,0,0,0,0
EV5,CKD,October,0,0,0,0,0,0,0,0,0,0,0,0
EV9,CKD,October,0,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD,October,0,0,0,0,0,275,0,477,0,426,0,0
Sorento,CKD,October,0,0,0,0,0,0,0,51,0,153,0,0
New Carens,CKD,October,0,0,0,0,0,0,0,0,0,1,0,0
Carens MPV,CKD,October,0,0,0,0,0,0,0,0,0,570,0,0
Carnival / Sedona,CKD,October,0,0,0,0,0,0,0,0,0,1098,0,0
Bongo / Frontier,CKD,October,0,0,0,0,0,0,277,0,0,518,0,0
Bongo,Special Vehicle,October,0,0,0,0,0,21,0,0,0,3,0,0
Millitary,Special Vehicle,October,385,0,0,0,0,0,0,0,0,0,0,0
Bus,Special Vehicle,October,0,0,0,0,0,0,0,0,0,0,0,0
Bongo (CKD),Special Vehicle,October,0,0,0,0,0,33,0,0,0,424,0,0
Millitary (CKD),Special Vehicle,October,0,0,0,0,0,0,0,24,0,0,0,0
Bus (CKD),Special Vehicle,October,0,0,0,0,0,0,0,0,0,83,0,0
Morning / Picanto,Korea Plants,November,1467,0,0,0,5549,373,1323,467,703,403,0,0
Pride / Rio,Korea Plants,November,0,0,0,0,0,0,0,0,0,0,0,0
Ray,Korea Plants,November,4417,0,0,0,0,0,0,0,0,0,0,0
Ray EV,Korea Plants,November,336,0,0,0,0,0,0,0,0,0,0,0
K3,Korea Plants,November,0,0,5,0,0,9,11,391,31,1043,0,0
K5 / Optima,Korea Plants,November,2645,6377,0,0,0,4,16,538,0,0,0,0
Stinger,Korea Plants,November,0,0,0,0,0,0,0,11,1,1,0,0
"K7,8 / Cadenza",Korea Plants,November,4336,0,0,0,0,13,0,82,0,0,0,0
K9,Korea Plants,November,99,0,0,0,0,8,0,0,0,0,0,0
Stonic,Korea Plants,November,0,0,0,0,3680,324,158,144,99,934,0,0
Seltos,Korea Plants,November,4887,3778,1086,0,0,121,643,359,0,665,0,0
Soul,Korea Plants,November,0,4031,157,31,0,27,292,0,0,3,0,0
Soul EV,Korea Plants,November,0,0,0,0,7,0,0,0,0,0,0,0
Niro,Korea Plants,November,1034,1305,306,62,3064,3,232,571,65,141,0,0
Niro EV,Korea Plants,November,128,319,431,0,1073,18,2,4,0,39,0,0
Niro Plus,Korea Plants,November,0,0,0,0,0,0,0,0,0,0,0,0
Niro Plus EV,Korea Plants,November,1,0,0,0,0,0,0,0,0,0,0,0
EV3,Korea Plants,November,2284,0,0,0,2522,236,0,0,0,0,0,0
EV4,Korea Plants,November,0,0,0,0,0,0,0,0,0,0,0,0
EV6,Korea Plants,November,770,1887,494,6,1627,138,3,12,22,162,87,45
EV9,Korea Plants,November,144,2033,463,0,715,39,11,4,4,104,0,0
Sportage,Korea Plants,November,4233,5034,1180,636,0,314,842,0,0,2428,0,0
Sorento,Korea Plants,November,10434,2179,158,0,829,381,188,972,115,848,0,0
Mohave / Borrego,Korea Plants,November,78,0,0,0,0,0,0,0,0,0,0,0
Carnival / Sedona,Korea Plants,November,7516,4925,351,0,0,16,189,85,15,1181,0,0
Bongo / Frontier,Korea Plants,November,2158,0,0,0,0,40,1001,1715,142,290,0,0
Bongo EV,Korea Plants,November,925,0,0,0,0,0,0,0,0,0,0,0
Bus,Korea Plants,November,123,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,November,0,0,0,0,5486,477,1,97,9,20,0,0
Cee'd CUV,Slovakia Plant,November,0,0,0,0,2607,386,6,0,81,0,0,0
Sportage,Slovakia Plant,November,0,0,0,0,13013,520,402,1561,553,0,0,0
Pride / Rio (SC),Mexico Plant,November,0,0,0,5139,0,0,1445,209,0,0,0,0
K3,Mexico Plant,November,0,11005,853,1227,0,0,112,0,0,10,0,0
Pride / Rio (FB),*Russia Plant(HMMR),November,,,,,,,,,,,,
Optima / K5,US Plant,November,0,1,1,0,0,0,2,0,0,0,0,0
Sportage,US Plant,November,0,9017,0,0,0,0,22,0,0,0,0,0
Sorento,US Plant,November,0,6526,991,162,0,0,60,0,0,0,0,0
Telluride,US Plant,November,0,11568,352,38,0,0,24,82,0,2,0,0
EV9,US Plant,November,0,122,0,0,0,0,1,0,0,0,0,0
Pegas,China Plants,November,0,0,0,0,0,0,2009,2644,345,113,0,27
Forte,China Plants,November,0,0,0,0,0,0,0,0,0,0,0,1849
K3,China Plants,November,0,0,0,0,0,0,0,0,0,0,0,979
K4,China Plants,November,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,China Plants,November,0,0,0,0,0,261,0,0,0,0,0,98
KX1,China Plants,November,0,0,0,0,0,0,0,0,0,0,0,971
Sonet,China Plants,November,0,0,0,1146,0,0,1389,783,134,555,0,30
KX3 / Seltos,China Plants,November,0,0,0,1554,0,0,804,1654,164,70,0,940
Zhipao,China Plants,November,0,0,0,0,0,0,0,0,0,0,0,369
KX5 / Sportage,China Plants,November,0,0,0,0,0,0,0,1991,0,0,0,1450
Carnival,China Plants,November,0,0,0,0,0,0,0,0,0,0,0,207
EV5,China Plants,November,0,0,0,0,0,0,181,13,8,276,0,241
Sonet,India Plant,November,0,0,,,0,0,61,3,761,136,9567,0
Seltos,India Plant,November,0,0,0,0,0,0,200,0,113,114,5810,0
Carens MPV,India Plant,November,0,0,0,0,0,73,178,453,38,30,5722,0
Carnival (CKD),India Plant,November,0,0,0,0,0,0,0,0,0,0,314,0
Morning / Picanto,CKD,November,0,0,0,0,0,0,0,231,0,101,0,0
Pegas,CKD,November,0,0,0,0,0,0,0,0,0,99,0,0
K3,CKD,November,0,0,0,0,0,229,0,0,0,483,0,0
K4,CKD,November,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,CKD,November,0,0,0,0,0,0,0,0,0,27,0,0
"K7, K8 / Cadenza",CKD,November,0,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD,November,0,0,0,0,0,1350,106,0,0,958,0,0
Stonic,CKD,November,0,0,0,0,0,0,0,135,0,0,0,0
Seltos,CKD,November,0,0,0,0,0,27,0,0,0,1187,0,0
Soul,CKD,November,0,0,0,0,0,0,0,0,0,0,0,0
EV5,CKD,November,0,0,0,0,0,0,0,0,0,0,0,0
EV9,CKD,November,0,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD,November,0,0,0,0,0,404,0,314,0,556,0,0
Sorento,CKD,November,0,0,0,0,0,0,0,28,0,160,0,0
New Carens,CKD,November,0,0,0,0,0,0,0,0,0,1,0,0
Carens MPV,CKD,November,0,0,0,0,0,0,0,0,0,730,0,0
Carnival / Sedona,CKD,November,0,0,0,0,0,0,0,0,0,1058,0,0
Bongo / Frontier,CKD,November,0,0,0,0,0,0,296,0,0,534,0,0
Bongo,Special Vehicle,November,0,0,0,0,0,7,7,0,0,4,0,0
Millitary,Special Vehicle,November,177,0,0,0,0,0,0,0,57,0,0,0
Bus,Special Vehicle,November,0,0,0,0,0,0,0,0,0,4,0,0
Bongo (CKD),Special Vehicle,November,0,0,0,0,0,19,0,0,0,180,0,0
Millitary (CKD),Special Vehicle,November,0,0,0,0,0,2,0,0,0,2,0,0
Bus (CKD),Special Vehicle,November,0,0,0,0,0,0,0,0,0,23,0,0
Morning / Picanto,Korea Plants,December,2608,0,0,0,4486,67,1690,156,680,578,0,0
Pride / Rio,Korea Plants,December,0,0,0,0,0,0,0,0,0,0,0,0
Ray,Korea Plants,December,4046,0,0,0,0,0,0,0,0,0,0,0
Ray EV,Korea Plants,December,173,0,0,0,0,0,0,0,0,0,0,0
K3,Korea Plants,December,0,0,1,5,0,10,7,241,115,714,0,0
K5 / Optima,Korea Plants,December,2105,5638,0,0,0,6,22,407,0,7,0,0
Stinger,Korea Plants,December,0,0,0,0,1,0,0,12,1,0,0,0
"K7,8 / Cadenza",Korea Plants,December,2354,0,0,0,0,14,0,139,0,2,0,0
K9,Korea Plants,December,240,0,0,0,0,6,0,0,0,0,0,0
Stonic,Korea Plants,December,0,0,0,0,3739,746,114,89,164,896,0,0
Seltos,Korea Plants,December,5512,3737,621,0,0,113,492,68,0,493,0,0
Soul,Korea Plants,December,0,3650,105,79,0,52,274,0,0,10,0,0
Soul EV,Korea Plants,December,0,0,0,0,16,0,1,0,0,0,0,0
Niro,Korea Plants,December,1174,1398,174,78,2081,9,303,325,106,145,0,0
Niro EV,Korea Plants,December,11,394,298,0,1047,93,2,2,5,43,0,0
Niro Plus,Korea Plants,December,0,0,0,0,0,0,0,0,2,5,0,0
Niro Plus EV,Korea Plants,December,1,0,0,0,0,0,0,0,2,0,0,0
EV3,Korea Plants,December,461,0,0,0,3978,539,0,0,0,0,0,0
EV4,Korea Plants,December,0,0,0,0,0,0,0,0,0,0,0,0
EV6,Korea Plants,December,155,2111,417,18,1207,8,6,5,10,170,88,31
EV9,Korea Plants,December,109,1450,384,0,726,32,7,6,5,100,0,0
Sportage,Korea Plants,December,8428,5711,1030,529,0,183,830,0,0,2920,0,0
Sorento,Korea Plants,December,8828,2403,70,0,808,429,246,1143,129,1032,0,0
Mohave / Borrego,Korea Plants,December,0,0,0,0,0,94,0,0,0,0,0,0
Carnival / Sedona,Korea Plants,December,7235,5165,199,0,0,8,271,318,23,885,0,0
Bongo / Frontier,Korea Plants,December,2243,0,0,0,0,17,806,1801,99,266,0,0
Bongo EV,Korea Plants,December,255,0,0,0,0,0,0,0,0,0,0,0
Bus,Korea Plants,December,132,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,December,0,0,0,0,4640,423,5,0,19,1,0,0
Cee'd CUV,Slovakia Plant,December,0,0,0,0,1802,224,22,1,33,0,0,0
Sportage,Slovakia Plant,December,0,0,0,0,9917,930,504,856,533,0,0,0
Pride / Rio (SC),Mexico Plant,December,0,0,1,4510,0,0,1391,323,10,1,0,0
K3,Mexico Plant,December,0,11911,714,1336,0,0,145,0,0,6,0,0
Pride / Rio (FB),*Russia Plant(HMMR),December,,,,,,,,,,,,
Optima / K5,US Plant,December,0,1,0,0,0,0,0,0,0,0,0,0
Sportage,US Plant,December,0,9716,0,0,0,0,32,0,0,0,0,0
Sorento,US Plant,December,0,7029,876,206,0,0,55,0,0,0,0,0
Telluride,US Plant,December,0,12488,270,41,0,0,13,42,0,8,0,0
EV9,US Plant,December,0,501,0,0,0,0,0,0,0,0,0,0
Pegas,China Plants,December,0,0,0,0,0,0,2187,2781,201,97,0,87
Forte,China Plants,December,0,0,0,0,0,0,0,0,0,0,0,1480
K3,China Plants,December,0,0,0,0,0,0,0,0,0,0,0,189
K4,China Plants,December,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,China Plants,December,0,0,0,0,0,252,0,0,0,0,0,176
KX1,China Plants,December,0,0,0,0,0,0,0,0,0,0,0,1447
Sonet,China Plants,December,0,0,0,1205,0,0,1344,833,279,681,0,434
KX3 / Seltos,China Plants,December,0,0,0,1494,0,0,939,1304,111,83,0,1139
Zhipao,China Plants,December,0,0,0,0,0,0,0,0,0,0,0,327
KX5 / Sportage,China Plants,December,0,0,0,0,0,0,0,2330,0,0,0,1832
Carnival,China Plants,December,0,0,0,0,0,0,0,0,0,0,0,195
EV5,China Plants,December,0,0,0,0,0,0,119,0,17,372,0,305
Sonet,India Plant,December,0,0,,,0,0,76,0,969,117,8195,0
Seltos,India Plant,December,0,0,0,0,0,0,249,1,158,112,6973,0
Carens MPV,India Plant,December,0,0,0,0,0,38,214,410,40,43,6225,0
Carnival (CKD),India Plant,December,0,0,0,0,0,0,0,0,0,0,179,0
Morning / Picanto,CKD,December,0,0,0,0,0,0,0,136,0,50,0,0
Pegas,CKD,December,0,0,0,0,0,0,0,0,0,67,0,0
K3,CKD,December,0,0,0,0,0,89,0,0,0,222,0,0
K4,CKD,December,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,CKD,December,0,0,0,0,0,0,0,0,0,27,0,0
"K7, K8 / Cadenza",CKD,December,0,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD,December,0,0,0,0,0,1778,199,0,0,787,0,0
Stonic,CKD,December,0,0,0,0,0,0,0,201,0,0,0,0
Seltos,CKD,December,0,0,0,0,0,15,0,0,0,909,0,0
Soul,CKD,December,0,0,0,0,0,0,0,0,0,0,0,0
EV5,CKD,December,0,0,0,0,0,0,0,0,0,0,0,0
EV9,CKD,December,0,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD,December,0,0,0,0,0,458,0,342,0,366,0,0
Sorento,CKD,December,0,0,0,0,0,0,0,40,0,130,0,0
New Carens,CKD,December,0,0,0,0,0,0,0,0,0,0,0,0
Carens MPV,CKD,December,0,0,0,0,0,0,0,0,0,453,0,0
Carnival / Sedona,CKD,December,0,0,0,0,0,0,0,0,0,918,0,0
Bongo / Frontier,CKD,December,0,0,0,0,0,0,175,0,0,562,0,0
Bongo,Special Vehicle,December,0,0,0,0,0,0,44,0,0,43,0,0
Millitary,Special Vehicle,December,262,0,0,0,10,0,0,0,58,0,0,0
Bus,Special Vehicle,December,0,0,0,0,0,0,0,0,0,0,0,0
Bongo (CKD),Special Vehicle,December,0,0,0,0,0,0,0,46,0,0,0,0
Millitary (CKD),Special Vehicle,December,0,0,0,0,0,0,0,74,0,0,0,0
Bus (CKD),Special Vehicle,December,0,0,0,0,0,0,0,0,0,62,0,0
