Plant,Plant Code,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
US Plant,KaGA,K5,"1,286",30,4,15,2,0,0,0,,,,
US Plant,KaGA,Sportage,"8,100","9,920","9,546","10,735","10,048","9,300","8,800","11,520","10,350","11,150","9,000","6,720"
US Plant,KaGA,Sorento,"6,442","9,849","10,049","10,150","10,449","8,650","8,249","9,380","9,237","10,520","7,972","4,718"
US Plant,KaGA,Telluride,"9,172","10,901","10,401","11,500","11,401","10,050","9,851","12,190","11,302","12,300","10,118","8,192"
US Plant,KaGA,EV9,,,,,,,,10,11,130,"1,210","1,170"
China Plants,DYK,Pegas,"5,120","3,607","3,340","3,946","3,812","5,280","4,699","5,902","6,111","6,303","6,455","5,934"
China Plants,DYK,Forte,"2,227","1,780","3,438","1,737","1,093","1,102","1,219",786,953,970,"1,564","1,880"
China Plants,DYK,K3,138,758,979,"1,583","1,304","1,472","1,035",969,791,638,230,314
China Plants,DYK,K4,,,,,,,,0,0,0,,
China Plants,DYK,K5,92,59,149,510,"1,202",953,"1,157",338,282,260,484,614
China Plants,DYK,KX1,396,377,470,383,271,555,381,505,586,805,"1,404","1,596"
China Plants,DYK,Sonet,910,"3,212","4,372","4,546","4,230","3,235","4,253","4,359","3,910","4,164","3,378","4,480"
China Plants,DYK,KX3,"4,596","3,794","4,298","4,720","4,250","4,198","4,871","4,960","4,290","5,865","6,496","4,369"
China Plants,DYK,Zhipao,490,298,230,66,32,117,112,157,145,442,477,234
China Plants,DYK,EV5,763,165,323,"1,182","1,732",881,948,"1,385","1,199","1,259",821,738
China Plants,DYK,KX5,"1,446",938,927,992,"1,001","2,672","3,295","2,951","3,559","2,850","2,792","3,722"
China Plants,DYK,Carnival,144,62,139,142,156,187,181,186,132,134,179,165
Slovakia Plant,KaSK,C'eed,"9,009","8,481","8,289","7,959","7,533","7,426","6,685","5,916","7,935","8,700","7,268","5,818"
Slovakia Plant,KaSK,C'eed CUV,"4,032","3,668","3,080","3,448","3,641","3,459","3,036","1,985","3,021","3,489","3,135","2,354"
Slovakia Plant,KaSK,Sportage,"20,059","19,558","18,931","20,099","20,926","18,785","17,779","13,799","20,344","21,311","18,698","11,628"
Mexico Plant,KMX,Rio(pride),15,72,0,108,0,0,0,,,,,
Mexico Plant,KMX,K3,"19,585","19,778","19,796","22,797","22,895","21,150","19,525","12,058","6,170","5,476","5,517","5,832"
Mexico Plant,KMX,K4,0,0,0,10,3,20,2,"12,325","16,329","18,439","16,824","13,274"
Mexico Plant,KMX,Tucson(NX4),,,,,,809,"2,378","2,821","2,637","3,048","2,700","2,097"
India Plant,KIN,Sonet,"11,843","9,240","8,829","8,821","8,270","11,212","10,199","11,390","11,564","11,126","10,626","4,567"
India Plant,KIN,Seltos,"6,695","6,825","8,568","7,298","7,218","7,024","6,279","6,929","7,232","6,544","5,643","3,211"
India Plant,KIN,Carens MPV,"6,536","5,440","5,704","6,048","6,300","6,246","6,512","6,775","6,721","6,820","6,093","3,165"
India Plant,KIN,Carnival,,,,,,,,,,255,241,103