Overseas Plants,Model,Sales Type,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
HMI, Santro (AH2),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
HMI, Xcent (BA 4DR),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
HMI, Aura (AI3 4DR),Domestic," 4,634 "," 5,524 "," 3,774 "," 5,085 "," 4,707 "," 4,907 "," 4,514 "," 4,892 "," 3,900 "," 4,096 "," 3,850 "," 3,812 "
HMI, NIOS (AI3 5DR),Domestic," 8,760 "," 9,635 "," 9,304 "," 6,839 "," 6,385 "," 6,321 "," 5,337 "," 7,306 "," 5,223 "," 6,552 "," 4,708 "," 5,247 "
HMI, i20 (BI3 5DR),Domestic," 8,185 "," 9,287 "," 6,596 "," 6,472 "," 6,094 "," 6,162 "," 5,001 "," 4,896 "," 6,481 "," 7,212 "," 5,727 "," 4,574 "
HMI, Verna (Hci),Domestic, 995 , 47 , - , - , - , - , - , - , - , - , - , - 
HMI, Verna (BN7i),Domestic, - , - ," 3,755 "," 4,001 "," 3,687 "," 4,001 "," 2,858 "," 2,576 "," 2,610 "," 2,313 "," 1,701 ", 712 
HMI,Exter (AI3 SUV),Domestic, - , - , - , - , - , - ," 7,000 "," 7,430 "," 8,647 "," 8,097 "," 8,325 "," 7,514 "
HMI, Venue (QXi),Domestic," 10,738 "," 9,997 "," 10,024 "," 10,342 "," 10,213 "," 11,606 "," 10,062 "," 10,948 "," 12,204 "," 11,581 "," 11,180 "," 10,383 "
HMI, Creta (SU2i),Domestic," 15,037 "," 10,421 "," 14,026 "," 14,186 "," 14,449 "," 14,447 "," 14,062 "," 13,832 "," 12,717 "," 13,077 "," 11,814 "," 9,243 "
HMI, Creta (SU2i LWB),Domestic," 1,537 "," 1,559 "," 2,519 "," 2,037 "," 2,443 "," 2,119 "," 1,443 "," 1,493 "," 1,977 "," 1,837 "," 1,913 ", 954 
HMI, Kona EV (OSi EV),Domestic, 40 , - , - , - , 84 , 75 , 60 , 91 , 69 , 44 , 19 , 19 
HMI,IONIQ5 (NEi),Domestic, - , 33 , 21 , 189 , 160 , 100 , 125 , 130 , 176 , 117 , 96 , 81 
HMI, Tucson (TLi),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
HMI, Tucson (NX4i),Domestic, 180 , 498 , 581 , 550 , 379 , 263 , 239 , 236 , 237 , 202 , 118 , 209 
HMI, Santro (AH2),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMI,Xcent(BA 4DR),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMI,Xcent(BA 5DR),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMI, Aura (AI3 4DR),Export," 1,099 ", 727 ," 2,311 "," 1,149 "," 1,039 "," 2,703 "," 2,963 "," 3,023 "," 4,124 "," 3,526 "," 3,083 "," 2,955 "
HMI, NIOS (AI3 5DR),Export," 1,727 "," 2,425 "," 1,447 ", 798 ," 2,307 "," 3,515 "," 4,448 "," 4,421 "," 3,803 "," 3,474 "," 3,946 "," 3,333 "
HMI, i20 (BI3 5DR),Export," 1,117 ", 427 , 276 , 286 , 410 , 851 , 856 ," 1,169 ", 675 , 880 , 39 , 83 
HMI, Verna (Hci),Export," 3,509 "," 2,243 "," 3,291 "," 3,973 "," 5,198 "," 3,149 ", 8 , - , - , - , - , - 
HMI, Verna (BN7i),Export, - , - , - , - , 1 ," 2,485 "," 5,100 "," 5,403 "," 5,482 "," 3,663 "," 6,977 "," 5,886 "
HMI, Exter(AI3 SUV),Export, - , - , - , - , - , - , - , 1 , - , - , - , - 
HMI, Venue(QXi),Export," 1,249 "," 1,021 ", 498 ," 1,006 "," 1,025 "," 1,511 "," 1,176 "," 1,912 "," 1,812 "," 1,096 ", 671 , 397 
HMI, Creta(SU2i),Export," 2,236 "," 3,101 "," 1,902 ", 513 , 329 , 193 , 616 , 435 , 427 , 205 , 358 , 200 
HMI, Creta(SU2i LWB),Export," 1,233 ", 906 ," 1,175 ", 775 , 691 ," 1,193 ", 833 ," 1,241 "," 1,077 ", 756 ," 1,276 ", 846 
HAOS,i10 (AC3),Domestic, 70 , 63 , 71 , - , - , 210 , 302 , 60 , 69 , 51 , 238 , 359 
HAOS,i20 (BC3),Domestic," 2,422 "," 2,004 "," 2,243 "," 1,756 "," 1,679 "," 1,276 ", 983 , 347 ," 2,334 "," 1,586 "," 2,681 "," 1,915 "
HAOS,Bayon (BC3 CUV),Domestic, 985 ," 1,257 "," 1,257 ", 985 ," 1,701 "," 1,701 "," 2,164 "," 1,743 ", 947 ," 1,287 "," 1,726 "," 1,776 "
HAOS,i20 N (BC3 N),Domestic, 21 , 19 , 20 , 30 , 15 , 26 , 32 , 33 , 49 , 20 , 10 , 60 
HAOS,i10 (AC3),Export," 7,009 "," 4,737 "," 6,268 "," 6,413 "," 6,465 "," 4,543 "," 5,663 "," 4,025 "," 6,668 "," 5,914 "," 5,918 "," 4,990 "
HAOS,i20 (BC3),Export," 7,252 "," 7,530 "," 7,921 "," 5,786 "," 8,105 "," 6,318 "," 7,607 "," 3,314 "," 5,089 "," 5,832 "," 6,785 "," 7,238 "
HAOS,Bayon (BC3 CUV),Export," 5,240 "," 3,608 "," 3,981 "," 3,375 "," 3,458 "," 2,817 "," 4,051 "," 2,405 "," 6,193 "," 5,595 "," 4,312 "," 4,754 "
HAOS,i20 N (BC3 N),Export, 525 , 435 , 710 , 486 , 442 , 626 , 876 , 771 , 770 , 659 , 885 , 836 
BHMC, Reina (CB),Domestic,                     - ,                     - ,                    - ,                     - ,                      - ,                      - ,                      - ,                      - ,                      - ,                      - ,                      - ,                    - 
BHMC, Verna (YC),Domestic,                     - ,                     - ,                    - ,                     - ,                      - ,                      - ,                      - ,                      - ,                      - ,                      - ,                      - , 1 
BHMC, Celesta (ID),Domestic, 764 ," 1,116 "," 1,560 ", 165 ,                      - ,                      - ,                      - ,                      - ,                      - ,                      - ,                      - , 2 
BHMC, Elantra (CN7c),Domestic," 5,212 "," 6,891 "," 12,425 "," 7,340 "," 9,612 "," 10,598 "," 5,098 "," 9,823 "," 10,566 "," 9,526 "," 11,775 "," 14,579 "
BHMC, La festa (SQ),Domestic, 398 , 614 , 519 , 159 , 124 , 396 , 48 , 71 , 101 , 67 , 34 , 23 
BHMC, La festa EV (SQ EV),Domestic,                     - ,                     - ,                    - ,                     - ,                      - ,                      - ,                      - ,                      - ,                      - ,                      - ,                      - ,                    - 
BHMC, Mistra (DU2),Domestic, 8 , 1 , 1 , 2 , 2 , 1 ,                      - , 20 ,                      - ,                      - ,                      - , 1 
BHMC, Mistra EV (DU2 EV),Domestic,                     - ,                     - ,                    - ,                     - ,                      - ,                      - ,                      - ,                      - ,                      - ,                      - ,                      - ,                    - 
BHMC, Sonata (DN8c),Domestic, 165 , 224 , 212 , 170 , 293 , 298 , 145 , 306 , 188 , 144 , 155 , 174 
BHMC, Custo (KU),Domestic, 447 , 463 , 788 ," 1,348 "," 1,121 "," 1,279 "," 1,342 "," 1,421 "," 1,642 "," 1,156 ", 680 ," 1,095 "
BHMC, ix25 (SU2),Domestic,                     - ,                     - ,                    - ,                     - ,                      - ,                      - ,                      - ,                      - ,                      - ,                      - ,                      - ,                    - 
BHMC, Tucson (NX4c),Domestic," 3,874 "," 3,404 "," 6,019 "," 3,372 "," 5,417 "," 6,099 "," 2,759 "," 4,588 "," 5,699 "," 4,468 "," 5,241 "," 7,540 "
BHMC, Tucson HEV (NX4c HEV),Domestic, 58 , 11 , 8 , 7 , 7 , 3 , 1 , 10 , 3 ,                      - , 2 , 1 
BHMC, ix35 (NU),Domestic," 4,031 "," 4,123 "," 5,115 "," 2,952 ", 544 , 702 , 13 , (1), 1 ,                      - ,                      - , 6 
BHMC, ix35 (NU2),Domestic,                     - ,                     - ,                    - ,                     - ," 1,905 "," 4,452 "," 2,909 "," 3,660 "," 3,870 "," 3,333 "," 3,632 "," 4,855 "
BHMC, Santa Fe (TMc),Domestic, 71 , 156 , 366 , 488 , 237 , 190 , 215 , 109 , 264 , 125 , 79 , 108 
BHMC, Custo (KU),Export, - , - , - , 3 , - , - , - , 171 , 60 , 8 , 63 , 140 
HMMA,Elantra (CN7a),Domestic," 1,781 "," 2,218 "," 3,005 "," 2,983 "," 3,021 ", 215 , 6 , - , - , - , - , - 
HMMA,Sonata (DN8a),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
HMMA,Tucson (NX4a),Domestic," 10,069 "," 12,699 "," 15,337 "," 11,864 "," 13,972 "," 12,618 "," 9,827 "," 15,138 "," 13,343 "," 13,335 "," 11,206 "," 11,472 "
HMMA,Tucson OB (NX4a OB),Domestic," 3,165 "," 3,296 "," 3,603 "," 3,509 "," 3,499 "," 2,844 "," 3,317 "," 4,286 "," 3,824 "," 2,830 "," 3,121 "," 3,099 "
HMMA,Santa-Fe (TMa),Domestic," 7,274 "," 9,749 "," 9,443 "," 8,684 "," 8,422 "," 10,459 "," 7,368 "," 10,858 "," 9,078 "," 9,986 "," 8,317 "," 9,263 "
HMMA,Santa-Fe HEV (TMa HEV),Domestic," 1,417 "," 1,631 "," 1,722 "," 1,628 "," 1,607 "," 1,949 "," 1,320 "," 1,825 "," 1,984 "," 1,958 "," 1,495 "," 2,285 "
HMMA,GV70 (JKa),Domestic, - , - , - , - , - , - ," 1,120 "," 1,587 "," 1,477 "," 3,119 "," 2,565 ", 840 
HMMA,GV70 EV (Jka EV),Domestic, - , 24 , 184 , 295 , 180 , 87 , 154 , 465 , 158 , 539 , 338 , 213 
HMMA,Elantra(CN7a),Export, 120 , 90 , 165 , 240 , 135 , 15 , - , - , - , - , - , - 
HMMA,Sonata (DN8a),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMMA,Tucson (NX4a),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMMA,Tucson OB (NX4a OB),Export, 463 , 388 , 447 , 371 , 420 , 395 , 287 , 478 , 425 , 358 , 214 , 664 
HMMA,Santa-Fe (TMa),Export, 832 , 832 ," 1,220 ", 781 , 861 ," 1,040 ", 785 ," 1,094 ", 908 , 808 , 821 , 573 
HMMA,GV70 (JKa),Export, - , - , - , - , - , - , 20 , - , 13 , 21 , 16 , 19 
HMMA,GV70 EV (Jka EV),Export, - , - , 2 , 6 , - , - , 5 , 1 , 3 , 3 , 3 , 3 
HMMC, i30 (PDe),Export," 3,512 "," 3,678 "," 4,719 "," 3,340 "," 3,720 "," 4,140 "," 2,837 "," 3,795 "," 4,006 "," 4,218 "," 4,008 "," 2,689 "
HMMC, i30 (Pde N),Export, 517 , 426 , 501 , 735 , 602 , 676 , 661 , 566 , 621 , 586 , 481 , 723 
HMMC, Kona EV (OSe EV),Export," 3,349 "," 3,531 "," 4,488 "," 3,473 "," 3,701 "," 3,698 "," 2,033 ", 230 , - , - , - , - 
HMMC, Kona EV (SX2e EV),Export, - , - , 6 , - , 1 , 2 , 5 ," 2,923 "," 4,428 "," 4,934 "," 4,596 "," 2,264 "
HMMC, Tucson (TLe),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMMC, Tucson (NX4e),Export," 11,607 "," 12,684 "," 14,305 "," 11,029 "," 14,152 "," 14,160 "," 9,268 "," 11,842 "," 12,878 "," 14,087 "," 12,969 "," 10,415 "
HMMC, Tucson HEV (NX4e HEV),Export," 4,039 "," 6,020 "," 6,678 "," 5,531 "," 5,848 "," 6,314 "," 4,126 "," 5,386 "," 6,301 "," 5,972 "," 6,412 "," 4,635 "
HMMC, Tucson PHEV (NX4e PHEV),Export," 1,570 "," 2,911 "," 3,296 "," 2,272 "," 2,531 "," 2,914 "," 1,779 "," 2,059 "," 2,415 "," 2,503 "," 2,356 "," 1,319 "
HMMR,Solaris (HCr),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
HMMR,Creta (SU2r),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
HMMR,Kia Rio(FB),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
HMMR,Solaris (HCr),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMMR,Creta (SU2r),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMMR,Kia Rio(FB),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMB,HB20 (BR2),Domestic," 4,221 "," 6,910 "," 10,531 "," 6,754 "," 4,688 "," 13,613 "," 12,304 "," 12,993 "," 13,221 "," 11,993 "," 11,655 "," 11,547 "
HMB,Creta (GSb),Domestic," 1,019 ", 973 ," 1,387 ", 904 , 246 , 493 ," 1,042 ", 999 , 894 , 430 ," 3,124 "," 1,104 "
HMB,Creta (SU2b),Domestic," 3,886 "," 3,634 "," 4,174 "," 3,692 "," 4,371 "," 3,397 "," 4,962 "," 4,876 "," 3,828 "," 5,451 "," 4,417 "," 5,663 "
HMB,HB20 (BR2),Export," 1,702 "," 1,073 "," 2,806 "," 2,145 ", 837 ," 1,748 "," 1,984 "," 1,222 "," 1,471 ", 839 ," 1,661 ", 992 
HMB,Creta (GSb),Export, 33 , - , 33 , 66 , 12 , 54 , 33 , - , 48 , 2 , 6 , - 
HMB,Creta (SU2b),Export, 76 , 188 , 108 , 96 , 104 , 80 , 76 , 189 , 130 , 38 , 132 , 72 
HMMI,Stargazer (KS),Domestic, 994 ," 2,009 "," 1,772 ", 574 ," 1,005 ", 513 , 689 ," 1,684 "," 1,473 "," 1,751 ", 812 , 877 
HMMI,IONIQ5 (NE),Domestic, 242 , 201 , 649 , 950 , 974 ," 1,023 ", 499 , 431 , 675 , 638 , 527 , 542 
HMMI,Santa-Fe (TMid),Domestic, 154 , 110 , 27 , 128 , 86 , 65 , 77 , 44 , 86 , 20 , 15 , 52 
HMMI,Creta (SU2id),Domestic, 610 , 680 ," 1,052 ", 429 , 999 , 559 , 262 , 212 , 72 , 493 , 630 , 447 
HMMI,Stargazer (KS),Export, - , 115 , 541 , 455 , 540 ," 1,054 ", 619 , 654 ," 1,214 "," 1,119 "," 1,141 ", 924 
HMMI,IONIQ5 (NE),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMMI,Santa-Fe (TMid),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMMI,Creta (SU2id),Export," 4,084 "," 3,502 "," 3,079 "," 2,623 "," 4,045 "," 4,888 "," 4,569 "," 4,750 "," 3,530 "," 2,733 "," 4,851 "," 3,408 "
HTBC,HTBC,Domestic, 60 , 80 , 52 , 40 , 49 , 61 , 65 , 50 , 31 , 24 , 60 , 111 
HTBC,HTBC,Export, 80 , - , 81 , 65 , 74 , 37 , 145 , 231 , 250 , 60 , 61 , 233 
Others,Others,Total, - , - , - , - , - , - , - , - , - , - , - , - 
Russia,CV,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Vietnam,i10(AI3v 4DR),Domestic, 198 , 51 , 74 , 30 , 179 , - , 134 , 99 , 92 , 90 , 91 , 72 
Vietnam,i10(AI3v 5DR),Domestic, 361 , 653 , 640 , 562 , 150 , 428 , 447 , 393 , 471 , 409 , 588 , 628 
Vietnam,Accent (HCv),Domestic, 891 ," 1,571 "," 1,670 ", 933 ," 1,525 ", 785 , 981 ," 1,338 "," 1,335 "," 1,746 "," 1,737 "," 1,062 "
Vietnam,Elantra (ADv),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Vietnam,Elantra (CN7v),Domestic, 57 , 147 , 297 , 290 , 332 , 53 , 172 , 222 , 157 , 211 , 175 , 45 
Vietnam,Kona (OSv),Domestic, - , - , - , - , - , - , - , - , - , - , - , 295 
Vietnam,Creta (SU2v),Domestic, - , - , - , - , 567 ," 1,148 ", 654 , 464 , 230 , 724 , 803 , 454 
Vietnam,Tucson (TLv),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Vietnam,Tucson (NX4v),Domestic, 296 , 763 , 954 , 470 , 675 , 32 , 109 , 40 , 88 , 610 , 616 , 391 
Vietnam,Santa Fe (TMv),Domestic," 1,058 ", 528 , 413 , 259 , 295 , 22 , 222 , 419 , 330 , 520 , 451 , 179 
Vietnam,Santa Fe HEV (TMv HEV),Domestic, - , - , - , - , - , - , - , 63 , 11 , 7 , 12 , 10 
Vietnam,Palisade (LX2v),Domestic, - , - , - , - , - , - , - , - , 30 , 147 , 139 , 245 
Vietnam,Kusto (KUv),Domestic, - , - , - , - , - , - , - , - , 163 , 368 , 604 , 666 
Vietnam,IONIQ5 (NEv),Domestic, - , - , - , - , - , - , - , 28 , 30 , - , 1 , 1 
Vietnam,Porter (HRv),Domestic, 360 , 90 , 450 , 346 , 208 , 191 , 406 , 213 , 286 , 264 , 186 , 60 
Vietnam,Mighty (LTv),Domestic, 80 , 130 , 209 , 121 , 60 , 60 , 60 , 90 , 90 , 121 , 120 , 31 
Vietnam,Mighty (VTv),Domestic, 240 , 300 , 120 , - , 150 , 149 , 88 , 118 , 247 , 85 , 32 , 150 
Vietnam,Mighty (QTv),Domestic, 90 , - , 30 , - , - , - , - , - , - , 29 , - , - 
Vietnam,Mighty (QTc),Domestic, 59 , 1 , 60 , - , - , - , - , - , - , - , - , - 
Vietnam,Truck,Domestic, 79 , 192 , 219 , 192 , 147 , 180 , 221 , 182 , 243 , 189 , 275 , 274 
Singapore,IONIQ5 (NE),Domestic, - , - , - , - , - , 33 , 58 , 65 , 73 , 49 , 62 , 114 
Singapore,IONIQ5 (NE),Export, - , - , - , - , - , - , - , 6 , 3 , 2 , 9 , 3 
CKD,PV,Total," 3,246 "," 3,261 "," 3,706 "," 3,377 "," 4,514 "," 4,581 "," 4,927 "," 4,441 "," 4,053 "," 4,572 "," 4,404 "," 3,461 "
CKD,CV,Total, 90 , 86 , 84 , 73 , 70 , 118 , 41 , 51 , 73 , 26 , 60 , 50 