Models,Vehicle Type,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
Accent,PC,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Veloster,PC,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Elantra,PC,"6,900 ","8,432 ","11,528 ","10,102 ","13,311 ","12,016 ","13,764 ","14,379 ","11,186 ","12,151 ","11,344 ","11,585 "
IONIQ,PC,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Sonata,PC,"3,121 ","4,379 ","5,664 ","5,348 ","6,700 ","5,935 ","5,755 ","5,953 ","5,575 ","6,300 ","6,971 ","7,642 "
G70,PC,986 ,686 ,"1,020 ","1,035 ",931 ,838 ,850 ,"1,055 ","1,137 ","1,016 ","1,548 ","1,156 "
G80 (RG3),PC,229 ,320 ,419 ,321 ,388 ,313 ,250 ,311 ,257 ,268 ,362 ,320 
G80 (RG3 EV),PC,23 ,26 ,55 ,9 ,11 ,16 ,24 ,79 ,52 ,44 ,29 ,29 
G90,PC,202 ,100 ,140 ,75 ,95 ,85 ,112 ,118 ,90 ,178 ,150 ,158 
Venue,RV,"1,435 ","1,959 ","2,538 ","2,401 ","2,494 ","2,544 ","2,400 ","2,470 ","1,602 ","1,444 ","1,521 ","1,799 "
Kona,RV,"6,577 ","7,024 ","9,453 ","8,273 ","8,308 ","6,904 ","6,713 ","6,112 ","5,144 ","5,685 ","6,133 ","5,846 "
Tucson,RV,"11,116 ","15,999 ","18,394 ","15,685 ","17,371 ","13,581 ","16,135 ","20,864 ","16,802 ","19,829 ","20,178 ","20,172 "
Santa Cruz(Tucson O/B),RV,"2,487 ","2,568 ","3,362 ","2,956 ","3,603 ","2,969 ","2,615 ","2,486 ","2,125 ","2,427 ","2,393 ","2,042 "
Nexo,RV,23 ,11 ,17 ,13 ,6 ,7 ,2 ,8 ,2 ,4 ,- ,1 
IONIQ 5,RV,"1,465 ","1,993 ","3,361 ","3,702 ","4,434 ","3,746 ","3,413 ","4,838 ","3,326 ","4,498 ","4,980 ","4,595 "
IONIQ 5 Robo Taxi,RV,- ,3 ,- ,- ,15 ,9 ,3 ,- ,10 ,- ,9 ,- 
IONIQ 6,RV,760 ,902 ,"1,984 ","1,253 ","1,099 ",914 ,778 ,808 ,599 ,837 ,"1,121 ","1,209 "
Santa Fe,RV,"6,021 ","9,239 ","10,834 ","9,728 ","10,997 ","9,803 ","8,989 ","10,152 ","7,918 ","9,644 ","12,376 ","13,309 "
Palisade,RV,"7,638 ","7,832 ","9,785 ","9,142 ","10,147 ","9,203 ","8,635 ","11,208 ","8,202 ","8,983 ","8,982 ","10,298 "
GV60,RV,166 ,147 ,160 ,254 ,262 ,237 ,296 ,296 ,180 ,203 ,285 ,380 
GV70,RV,"1,471 ","1,760 ","1,684 ","1,496 ","1,894 ","2,001 ","2,483 ","3,005 ","2,343 ","2,594 ","3,086 ","3,127 "
GV70 EV,RV,114 ,146 ,155 ,379 ,732 ,349 ,198 ,178 ,92 ,154 ,149 ,330 
GV80,RV,"1,078 ","1,420 ","2,270 ","1,939 ","1,604 ","1,780 ","1,981 ","2,344 ","2,386 ","2,446 ","2,394 ","2,659 "